time,open,high,low,close,tick_volume,spread,real_volume
1062374400,11.63,11.75,10.65,10.77,55232,0,1068028000000
1064966400,10.77,12.51,10.41,12.14,101603,0,2237100000000
1067644800,12.23,13.31,11.96,13.19,85921,0,2005667370000
1070236800,13.29,17.33,12.82,15.99,134757,0,2598568000000
1072915200,16.1,17.34,14.33,14.53,125618,0,2340503000000
1075593600,14.1,14.77,13.3,13.76,101794,0,2077459000000
1078099200,13.88,14.28,12.75,13.65,98180,0,1979396000000
1080777600,13.52,16.23,13.0,15.35,110816,0,2457712000000
1083369600,15.2,15.65,13.89,14.85,100912,0,2131024000000
1086048000,14.86,16.48,14.66,15.66,92545,0,1879613000000
1088640000,15.65,15.77,13.71,14.73,88795,0,1756274000000
1091318400,14.65,15.1,13.61,14.11,79220,0,1450597000000
1093996800,14.12,14.68,13.65,14.05,76905,0,1472977000000
1096588800,14.1,14.32,12.61,13.04,92438,0,2119212000000
1099267200,13.13,14.45,12.88,14.17,86990,0,1377892000000
1101859200,14.16,15.0,13.59,14.65,91801,0,1422699000000
1104537600,14.66,14.75,13.04,13.17,91685,0,1862480000000
1107216000,13.27,13.54,12.49,12.64,85119,0,1471433000000
1109635200,12.57,12.73,10.94,11.44,123828,0,2267767000000
1112313600,11.65,11.69,9.07,9.12,165664,0,3193134000000
1114905600,9.16,10.45,9.07,9.99,160704,0,3211087000000
1117584000,10.04,11.48,9.85,10.25,155088,0,3015856000000
1120176000,10.22,11.19,10.12,10.77,108839,0,1818337000000
1122854400,10.72,11.04,9.64,9.92,133039,0,2210497000000
1125532800,9.97,10.2,9.55,9.86,134495,0,2161344000000
1128124800,10.0,10.0,7.98,8.33,194614,0,3756103000000
1130803200,8.33,8.57,7.57,8.14,197218,0,3390269000000
1133395200,8.24,8.41,7.64,7.71,205113,0,3222909000000
1136073600,7.72,8.96,7.66,8.58,301338,0,5592809000000
1138752000,8.53,8.7,7.96,7.97,180021,0,2831599000000
1141171200,8.0,8.29,7.39,8.06,235230,0,4388475000000
1143849600,8.05,8.05,6.91,6.95,303125,0,5710141000000
1146441600,7.08,7.43,6.75,7.16,315176,0,5178376000000
1149120000,7.21,7.25,6.17,6.92,321716,0,5281675000000
1151712000,6.98,6.98,6.06,6.68,304755,0,4970275000000
1154390400,6.68,8.47,6.47,8.35,542585,0,8399283000000
1157068800,8.42,9.48,7.62,8.11,632996,0,9155826000000
1159660800,8.1,8.67,7.8100000000000005,8.27,416684,0,5190475000000
1162339200,8.33,9.19,8.0,8.13,390426,0,3890974000000
1164931200,8.1,8.15,6.85,7.5,890461,0,17741318000000
1167609600,7.5600000000000005,8.62,7.43,8.14,565059,0,11225288000000
1170288000,8.17,8.97,7.6,7.92,421601,0,7031639530000
1172707200,7.77,8.2,7.44,7.88,477399,0,8210545700000
1175385600,7.9,8.38,7.67,8.06,388500,0,6179663840000
1177977600,8.04,8.98,7.96,8.32,415810,0,6378483940000
1180656000,8.37,9.7,8.05,9.42,563377,0,7898074130000
1183248000,9.57,9.64,7.9,8.52,845921,0,11099932470000
1185926400,8.48,8.85,7.49,7.82,772996,0,7962229720000
1188604800,7.78,9.0,7.5,8.51,609773,0,6480573440000
1191196800,8.56,9.24,8.13,8.84,812817,0,8232566950000
1193875200,8.73,8.99,6.87,7.52,834146,0,7775450940000
1196467200,7.52,7.52,6.65,6.72,558796,0,5932911110000
1199145600,6.74,6.9399999999999995,5.51,6.63,944919,0,9872233950000
1201824000,6.67,6.93,6.01,6.53,830483,0,7175503070000
1204329600,6.42,6.42,4.95,5.7,1062894,0,10577607090000
1207008000,5.77,8.79,5.77,8.28,2063867,0,17819016670000
1209600000,8.28,8.68,6.59,6.8100000000000005,1114063,0,9452881300000
1212278400,6.84,6.93,4.46,4.84,1499507,0,11648674930000
1214870400,4.71,6.33,4.3,4.85,2056047,0,13927990480000
1217548800,4.79,5.5,4.24,4.52,1155163,0,9688888630000
1220227200,4.6899999999999995,5.7,4.26,4.9,1653837,0,13704900260000
1222819200,4.85,5.47,1.8,2.19,1896794,0,15259003270000
1225497600,2.25,3.2,1.01,3.04,1545943,0,16094908750000
1228089600,3.0,3.55,2.02,2.24,2483602,0,24185309520000
1230768000,2.3,2.85,1.81,1.87,941087,0,9831376520000
1233446400,1.85,2.16,1.5,1.97,513920,0,5433643870000
1235865600,1.9100000000000001,2.99,1.65,2.65,818918,0,7612639060000
1238544000,2.55,5.99,2.4,5.86,2593681,0,22831150620000
1241136000,5.99,6.54,4.71,5.73,2649772,0,21536169640000
1243814400,5.95,6.53,5.21,6.06,2608560,0,17470086750000
1246406400,6.12,8.0,5.24,8.0,2648604,0,17688632290000
1249084800,8.65,8.86,7.13,7.59,2671525,0,16395847910000
1251763200,7.51,7.77,6.75,7.21,2211402,0,13537285420000
1254355200,7.19,7.98,6.61,7.04,2064729,0,13323142090000
1257033600,7.72,9.14,7.24,8.9,2742865,0,21415583130000
1259625600,9.01,10.37,8.76,9.99,1785534,0,12269499710000
1262304000,10.18,12.14,10.05,10.85,3199708,0,24375032340000
1264982400,11.13,11.88,10.49,11.72,2189335,0,15387771470000
1267401600,11.81,14.54,11.75,12.57,3677153,0,26391902280000
1270080000,12.84,14.57,12.34,13.03,3728404,0,24371739140000
1272672000,13.19,13.49,10.17,11.73,4543856,0,25900212130000
1275350400,11.5,12.15,9.75,10.06,2972426,0,16726151190000
1277942400,10.23,13.18,10.02,12.78,2868475,0,16617653710000
1280620800,13.06,13.25,10.95,11.28,2247243,0,12836019380000
1283299200,11.53,12.75,11.46,12.24,1855931,0,10519586540000
1285891200,12.35,14.47,12.12,14.15,2295964,0,14236276320000
1288569600,14.33,17.42,14.16,15.93,4107674,0,23728809760000
1291161600,16.24,17.03,16.14,16.8,1846600,0,9697723510000
1293840000,17.02,18.98,15.45,15.93,3725164,0,19861093480000
1296518400,16.15,16.51,14.49,15.07,3176864,0,17211949270000
1298937600,15.1,15.12,13.87,14.91,2839608,0,14191340190000
1301616000,15.04,16.18,14.48,15.46,2629587,0,13175947830000
1304208000,15.52,15.7,14.35,14.91,2142605,0,10275934670000
1306886400,14.78,14.9,12.65,13.8,2962042,0,14244520180000
